Year,Athlete,Country,Time
1977,Dorothy Doolittle,United States,02:17:52
1978,Lynae Larson,United States,02:19:20
1979,Laura Michalek,United States,02:23:20
1980,Sue Peterson,United States,02:14:04
1981,Tina Gandy,United States,02:16:13
1982,Nancy Conz,United States,02:10:59
1983,Rosa Mota,Portugal,02:09:44
1984,Rosa Mota,Portugal,02:08:05
1985,Joan Benoit,United States,02:07:13
1986,Ingrid Kristiansen,Norway,02:08:27
1988,Lisa Weidenbach,United States,02:08:57
1989,Lisa Weidenbach,United States,02:11:25
1990,Aurora Cunha,Portugal,02:09:41
1991,Midde Hamrin,Sweden,02:14:33
1992,Linda Somers,United States,02:16:14
1993,Ritva Lemettinen,Finland,02:13:14
1994,Kristy Johnston,United States,02:11:16
1995,Ritva Lemettinen,Finland,02:11:18
1996,Marian Sutton,United Kingdom,02:08:52
1997,Marian Sutton,United Kingdom,02:07:10
1998,Joyce Chepchumba,Kenya,02:06:54
1999,Joyce Chepchumba,Kenya,02:05:42
2000,Catherine Ndereba,Kenya,02:07:01
2001,Catherine Ndereba,Kenya,02:08:52
2002,Paula Radcliffe,United Kingdom,02:05:56
2003,Svetlana Zakharova,Russia,02:05:50
2004,Constantina Di??,Romania,02:06:16
2005,Deena Kastor,United States,02:07:02
2006,Berhane Adere,Ethiopia,02:07:35
2007,Berhane Adere,Ethiopia,02:11:11
2008,Lidiya Grigoryeva,Russia,02:06:25
2009,Irina Mikitenko,Germany,02:05:41
2010,Atsede Baysa,Ethiopia,02:06:23
2011,Ejegayehu Dibaba,Ethiopia,02:05:37
2012,Atsede Baysa,Ethiopia,02:04:38
2013,Rita Jeptoo,Kenya,02:03:45
2014,Mare Dibaba,Ethiopia,02:04:11
2015,Florence Kiplagat,Kenya,02:09:25
2016,Florence Kiplagat,Kenya,02:11:23
2017,Tirunesh Dibaba,Ethiopia,02:09:20
2018,Brigid Kosgei,Kenya,02:05:11
