Year,Athlete,Nationality,Time(h:m:s),Notes
1981,Joyce Smith,United Kingdom,02:29:57,Course record
1982,Joyce Smith,United Kingdom,02:29:43,Course record; second victory
1983,Grete Waitz,Norway,02:25:29,World marathon record
1984,Ingrid Kristiansen,Norway,02:24:26,Course record
1985,Ingrid Kristiansen,Norway,02:21:06,World marathon record; second victory
1986,Grete Waitz,Norway,02:24:54,Second victory
1987,Ingrid Kristiansen,Norway,02:22:48,Third victory
1988,Ingrid Kristiansen,Norway,02:25:41,Fourth victory
1989,Véronique Marot,United Kingdom,02:25:56,
1990,Wanda Panfil,Poland,02:26:31,
1991,Rosa Mota,Portugal,02:26:14,
1992,Katrin Dörre-Heinig,Germany,02:29:39,
1993,Katrin Dörre-Heinig,Germany,02:27:09,Second victory
1994,Katrin Dörre-Heinig,Germany,02:32:34,Third victory
1995,Ma?gorzata Soba?ska,Poland,02:27:43,
1996,Liz McColgan,United Kingdom,02:27:54,
1997,Joyce Chepchumba,Kenya,02:26:51,
1998,Catherina McKiernan,Ireland,02:26:26,
1999,Joyce Chepchumba,Kenya,02:23:22,Second victory
2000,Tegla Laroupe,Kenya,02:24:33,
2001,Derartu Tulu,Ethiopia,02:23:57,
2002,Paula Radcliffe,United Kingdom,02:18:56,Course record
2003,Paula Radcliffe,United Kingdom,02:15:25,World marathon record (mixed); second victory
2004,Margaret Okayo,Kenya,02:22:35,
2005,Paula Radcliffe,United Kingdom,02:17:42,World marathon record (women-only); third victory
2006,Deena Kastor,United States,02:19:35,
2007,Zhou Chunxiu,China,02:20:38,
2008,Irina Mikitenko,Germany,02:24:14,
2009,Irina Mikitenko,Germany,02:22:11,Second victory
2010,Aselefech Mergia,Ethiopia,02:22:38,Initially third but Liliya Shobukhova and Inga Abitova both disqualified retrospectively.
2011,Mary Keitany,Kenya,02:19:19,
2012,Mary Keitany,Kenya,02:18:37,Second victory
2013,Priscah Jeptoo,Kenya,02:20:15,
2014,Edna Kiplagat,Kenya,02:20:21,
2015,Tigist Tufa,Ethiopia,02:23:21,
2016,Jemima Sumgong,Kenya,02:22:58,
2017,Mary Keitany,Kenya,02:17:01,World marathon record (women-only); third victory
2018,Vivian Cheruiyot,Kenya,02:18:31,
