Year,Athlete,Country,Time
1977,Dan Cloeter,United States,02:17:52
1978,Mark Stanforth,United States,02:19:20
1979,Dan Cloeter,United States,02:23:20
1980,Frank Richardson,United States,02:14:04
1981,Phil Coppess,United States,02:16:13
1982,Greg Meyer,United States,02:10:59
1983,Joseph Nzau,Kenya,02:09:44
1984,Steve Jones,United Kingdom,02:08:05
1985,Steve Jones,United Kingdom,02:07:13
1986,Toshihiko Seko,Japan,02:08:27
1988,Alejandro Cruz,Mexico,02:08:57
1989,Paul Davies-Hale,United Kingdom,02:11:25
1990,Martín Pitayo,Mexico,02:09:41
1991,Joseildo Rocha,Brazil,02:14:33
1992,José Cesar de Souza,Brazil,02:16:14
1993,Luíz Antônio,Brazil,02:13:14
1994,Luíz Antônio,Brazil,02:11:16
1995,Eamonn Martin,United Kingdom,02:11:18
1996,Paul Evans,United Kingdom,02:08:52
1997,Khalid Khannouchi,Morocco,02:07:10
1998,Ondoro Osoro,Kenya,02:06:54
1999,Khalid Khannouchi,Morocco,02:05:42
2000,Khalid Khannouchi,United States,02:07:01
2001,Ben Kimondiu,Kenya,02:08:52
2002,Khalid Khannouchi,United States,02:05:56
2003,Evans Rutto,Kenya,02:05:50
2004,Evans Rutto,Kenya,02:06:16
2005,Felix Limo,Kenya,02:07:02
2006,Robert Cheruiyot,Kenya,02:07:35
2007,Patrick Ivuti,Kenya,02:11:11
2008,Evans Cheruiyot,Kenya,02:06:25
2009,Samuel Wanjiru,Kenya,02:05:41
2010,Samuel Wanjiru,Kenya,02:06:23
2011,Moses Mosop,Kenya,02:05:37
2012,Tsegaye Kebede,Ethiopia,02:04:38
2013,Dennis Kimetto,Kenya,02:03:45
2014,Eliud Kipchoge,Kenya,02:04:11
2015,Dickson Chumba,Kenya,02:09:25
2016,Abel Kirui,Kenya,02:11:23
2017,Galen Rupp,United States,02:09:20
2018,Mo Farah,United Kingdom,02:05:11
