,Year,Athlete,Country,Time,Marathon
121,2018,Yuki Kawauchi,Japan,02:15:58,Boston
120,2017,Geoffrey Kirui,Kenya,02:09:37,Boston
119,2016,Berhanu Hayle,Ethiopia,02:12:45,Boston
118,2015,Desisa Benti,Ethiopia,02:09:17,Boston
117,2014,Meb Keflezighi,United States,02:08:37,Boston
116,2013,Desisa Benti,Ethiopia,02:10:22,Boston
115,2012,Wesley Korir,Kenya,02:12:40,Boston
114,2011,Geoffrey Mutai,Kenya,02:03:02,Boston
113,2010,Kiprono Cheruiyot,Kenya,02:05:52,Boston
112,2009,Deriba Merga,Ethiopia,02:08:42,Boston
111,2008,Kipkoech Cheruiyot,Kenya,02:07:45,Boston
110,2007,Kipkoech Cheruiyot,Kenya,02:14:13,Boston
109,2006,Kipkoech Cheruiyot,Kenya,02:07:14,Boston
108,2005,Hailu Negussie,Ethiopia,02:11:44,Boston
107,2004,Timothy Cherigat,Kenya,02:10:37,Boston
106,2003,Kipkoech Cheruiyot,Kenya,02:10:11,Boston
105,2002,Rodgers Rop,Kenya,02:09:02,Boston
104,2001,Bong Ju,South Korea,02:09:43,Boston
103,2000,Elijah Lagat,Kenya,02:09:47,Boston
102,1999,Joseph Chebet,Kenya,02:09:52,Boston
101,1998,Moses Tanui,Kenya,02:07:34,Boston
100,1997,Lameck Aguta,Kenya,02:10:34,Boston
99,1996,Moses Tanui,Kenya,02:09:15,Boston
98,1995,Cosmas Ndeti,Kenya,02:09:22,Boston
97,1994,Cosmas Ndeti,Kenya,02:07:15,Boston
96,1993,Cosmas Ndeti,Kenya,02:09:33,Boston
95,1992,Ibrahim Hussein,Kenya,02:08:14,Boston
94,1991,Ibrahim Hussein,Kenya,02:11:06,Boston
93,1990,Gelindo Bordin,Italy,02:08:19,Boston
92,1989,Abebe Mekonnen,Ethiopia,02:09:06,Boston
91,1988,Ibrahim Hussein,Kenya,02:08:43,Boston
90,1987,Toshihiko Seko,Japan,02:11:50,Boston
89,1986,Robert Castella,Australia,02:07:51,Boston
88,1985,Geoff Smith,United Kingdom,02:14:05,Boston
87,1984,Geoff Smith,United Kingdom,02:10:34,Boston
86,1983,Greg Meyer,United States,02:09:00,Boston
85,1982,Alberto Salazar,United States,02:08:52,Boston
84,1981,Toshihiko Seko,Japan,02:09:26,Boston
83,1980,Bill Rodgers,United States,02:12:11,Boston
82,1979,Bill Rodgers,United States,02:09:27,Boston
81,1978,Bill Rodgers,United States,02:10:13,Boston
80,1977,Jerome Drayton,Canada,02:14:46,Boston
79,1976,Jack Fultz,United States,02:20:19,Boston
78,1975,Bill Rodgers,United States,02:09:55,Boston
77,1974,Neil Cusack,Ireland,02:13:39,Boston
76,1973,Jon Anderson,United States,02:16:03,Boston
75,1972,Olavi Suomalainen,Finland,02:15:39,Boston
74,1971,Alvaro Mej,Colombia,02:18:45,Boston
73,1970,Ron Hill,United Kingdom,02:10:30,Boston
72,1969,Yoshiaki Unetani,Japan,02:13:49,Boston
71,1968,Amby Burfoot,United States,02:22:17,Boston
70,1967,Dave McKenzie,Zealand New,02:15:45,Boston
