Marathon,Year,Athlete,Country,Time
Boston,2018,Yuki Kawauchi,Japan,02:15:58
Chicago,2018,Mo Farah,United Kingdom,02:05:11
Berlin,2018,Eliud Kipchoge,Kenya,02:01:39
London,2018,Eliud Kipchoge,Kenya,02:04:17
Tokyo,2018,Dickson Chumba,Kenya,02:05:30
Boston,2017,Geoffrey Kirui,Kenya,02:09:37
Chicago,2017,Galen Rupp,United States,02:09:20
Berlin,2017,Eliud Kipchoge,Kenya,02:03:32
New York,2017,Geoffrey Kamworor,Kenya,02:10:53
London,2017,Daniel Wanjiru,Kenya,02:05:48
Tokyo,2017,Wilson Kipsang,Kenya,02:03:58
Tokyo,2016,Feyisa Lilesa,Ethiopia,02:06:56
Chicago,2016,Abel Kirui,Kenya,02:11:23
Berlin,2016,Kenenisa Bekele,Ethiopia,02:03:03
London,2016,Eliud Kipchoge,Kenya,02:03:05
New York,2016,Ghirmay Ghebreslassie,Eritrea,02:07:51
Boston,2016,Berhanu Hayle,Ethiopia,02:12:45
Berlin,2015,Eliud Kipchoge,Kenya,02:04:00
Chicago,2015,Dickson Chumba,Kenya,02:09:25
Tokyo,2015,Endeshaw Negesse,Ethiopia,02:06:00
New York,2015,Stanley Biwott,Kenya,02:10:34
London,2015,Eliud Kipchoge,Kenya,02:04:42
Boston,2015,Desisa Benti,Ethiopia,02:09:17
Tokyo,2014,Dickson Chumba,Kenya,02:05:42
London,2014,Wilson Kipsang,Kenya,02:04:29
Chicago,2014,Eliud Kipchoge,Kenya,02:04:11
Boston,2014,Meb Keflezighi,United States,02:08:37
New York,2014,Wilson Kipsang,Kenya,02:10:59
Berlin,2014,Dennis Kimetto,Kenya,02:02:57
Boston,2013,Desisa Benti,Ethiopia,02:10:22
Chicago,2013,Dennis Kimetto,Kenya,02:03:45
Berlin,2013,Wilson Kipsang,Kenya,02:03:23
New York,2013,Geoffrey Mutai,Kenya,02:08:24
Tokyo,2013,Dennis Kimetto,Kenya,02:06:50
London,2013,Tsegaye Kebede,Ethiopia,02:06:04
Chicago,2012,Tsegaye Kebede,Ethiopia,02:04:38
Berlin,2012,Geoffrey Mutai,Kenya,02:04:15
Boston,2012,Wesley Korir,Kenya,02:12:40
London,2012,Wilson Kipsang,Kenya,02:04:44
Tokyo,2012,Michael Kipyego,Kenya,02:07:37
Berlin,2011,Patrick Musyoki,Kenya,02:03:38
Tokyo,2011,Hailu Mekonnen,Ethiopia,02:07:35
New York,2011,Geoffrey Mutai,Kenya,02:05:05
London,2011,Emmanuel Mutai,Kenya,02:04:40
Chicago,2011,Moses Mosop,Kenya,02:05:37
Boston,2011,Geoffrey Mutai,Kenya,02:03:02
Tokyo,2010,Masakazu Fujiwara,Japan,02:12:19
