Year,Athlete,Country,Time
2018,Gladys Cherono,Kenya,02:18:11
2017,Gladys Cherono,Kenya,02:20:23
2016,Aberu Kebede,Ethiopia,02:20:45
2015,Gladys Cherono,Kenya,02:19:25
2014,Tirfi Tsegaye,Ethiopia,02:20:18
2013,Florence Kiplagat,Kenya,02:21:13
2012,Aberu Kebede,Ethiopia,02:20:30
2011,Florence Kiplagat,Kenya,02:19:44
2010,Aberu Kebede,Ethiopia,02:23:58
2009,Atsede Habtamu,Ethiopia,02:24:47
2008,Irina Mikitenko,Germany,02:19:19
2007,Gete Wami,Ethiopia,02:23:17
2006,Gete Wami,Ethiopia,02:21:34
2005,Mizuki Noguchi,Japan,02:19:12
2004,Yoko Shibui,Japan,02:19:41
2003,Yasuko Hashimoto,Japan,02:26:32
2002,Naoko Takahashi,Japan,02:21:49
2001,Naoko Takahashi,Japan,02:19:46
2000,Kazumi Matsuo,Japan,02:26:15
1999,Tegla Loroupe,Kenya,02:20:43
1998,Marleen Renders,Belgium,02:25:22
1997,Catherina McKiernan,Ireland,02:23:44
1996,Colleen De Reuck,South Africa,02:26:35
1995,Uta Pippig,Germany,02:25:37
1994,Katrin Dörre-Heinig,Germany,02:25:15
1993,Renata Kokowska,Poland,02:26:20
1992,Uta Pippig,Germany,02:30:22
1991,Renata Kokowska,Poland,02:27:36
1990,Uta Pippig,East Germany,02:28:37
1989,Päivi Tikkanen,Finland,02:28:45
1988,Renata Kokowska,Poland,02:29:16
1987,Kerstin Preßler,West Germany,02:31:22
1986,Charlotte Teske,West Germany,02:32:10
1985,Magda Ilands,Belgium,02:34:10
1984,Ágnes Sipka,Hungary,02:39:32
1983,Karen Holdsworth,United Kingdom,02:40:32
1982,Jean Lochhead,United Kingdom,02:47:05
1981,Angelika Stephan,West Germany,02:47:24
1980,Gerlinde Püttmann,West Germany,02:47:18
1979,Jutta von Haase,West Germany,03:07:07
1978,Ursula Blaschke,West Germany,02:57:09
1977,Christa Vahlensieck,West Germany,02:34:48
1976,Jutta von Haase,West Germany,03:05:19
1975,Christin Bochröder,West Germany,02:59:15
1974,Jutta von Haase,West Germany,03:22:01
