Year,Athlete,Country,Time
2018,Eliud Kipchoge,Kenya,02:01:39
2017,Eliud Kipchoge,Kenya,02:03:32
2016,Kenenisa Bekele,Ethiopia,02:03:03
2015,Eliud Kipchoge,Kenya,02:04:00
2014,Dennis Kimetto,Kenya,02:02:57
2013,Wilson Kipsang,Kenya,02:03:23
2012,Geoffrey Mutai,Kenya,02:04:15
2011,Patrick Musyoki,Kenya,02:03:38
2010,Patrick Musyoki,Kenya,02:05:08
2009,Haile Gebrselassie,Ethiopia,02:06:08
2008,Haile Gebrselassie,Ethiopia,02:03:59
2007,Haile Gebrselassie,Ethiopia,02:04:26
2006,Haile Gebrselassie,Ethiopia,02:05:56
2005,Philip Manyim,Kenya,02:07:41
2004,Felix Limo,Kenya,02:06:44
2003,Paul Tergat,Kenya,02:04:55
2002,Raymond Kipkoech,Kenya,02:06:47
2001,Joseph Ngolepus,Kenya,02:08:47
2000,Simon Biwott,Kenya,02:07:42
1999,Josephat Kiprono,Kenya,02:06:44
1998,Ronaldo da Costa,Brazil,02:06:05
1997,Elijah Lagat,Kenya,02:07:41
1996,Abel Antón,Spain,02:09:15
1995,Sammy Lelei,Kenya,02:07:02
1994,António Pinto,Portugal,02:08:31
1993,Xolile Yawa,South Africa,02:10:57
1992,David Tsebe,South Africa,02:08:07
1991,Steve Brace,United Kingdom,02:10:57
1990,Steve Moneghetti,Australia,02:08:16
1989,Alfredo Shahanga,Tanzania,02:10:11
1988,Suleiman Nyambui,Tanzania,02:11:45
1987,Suleiman Nyambui,Tanzania,02:11:11
1986,Bogus?aw Psujek,Poland,02:11:03
1985,Jimmy Ashworth,United Kingdom,02:11:43
1984,John Skovbjerg,Denmark,02:13:35
1983,Karel Lismont,Belgium,02:13:37
1982,Domingo Tibaduiza,Colombia,02:14:47
1981,Ian Ray,United Kingdom,02:15:42
1980,Ingo Sensburg,West Germany,02:16:48
1979,Ingo Sensburg,West Germany,02:21:09
1978,Michael Spöttel,West Germany,02:20:03
1977,Günter Mielke,West Germany,02:15:19
1976,Ingo Sensburg,West Germany,02:23:08
1975,Ralf Bochröder,West Germany,02:47:08
1974,Günter Hallas,West Germany,02:44:53
