Marathon,Year,Athlete,Country,Time
Boston,2018,Desi Linden,United States,02:39:54
Tokyo,2018,Birhane Dibaba,Ethiopia,02:19:51
Berlin,2018,Gladys Cherono,Kenya,02:18:11
Chicago,2018,Brigid Kosgei,Kenya,02:05:11
London,2018,Vivian Cheruiyot,Kenya,02:18:31
Chicago,2017,Tirunesh Dibaba,Ethiopia,02:09:20
New York,2017,Shalane Flanagan,United States,02:26:53
London,2017,Mary Keitany,Kenya,02:17:01
Tokyo,2017,Sarah Chepchirchir,Kenya,02:19:47
Boston,2017,Edna Kiplagat,Kenya,02:21:52
Berlin,2017,Gladys Cherono,Kenya,02:20:23
New York,2016,Mary Keitany,Kenya,02:24:26
Boston,2016,Atsede Baysa,Ethiopia,02:29:19
Berlin,2016,Aberu Kebede,Ethiopia,02:20:45
Tokyo,2016,Helah Kiprop,Kenya,02:21:27
Chicago,2016,Florence Kiplagat,Kenya,02:11:23
London,2016,Jemima Sumgong,Kenya,02:22:58
New York,2015,Mary Keitany,Kenya,02:24:25
Berlin,2015,Gladys Cherono,Kenya,02:19:25
Tokyo,2015,Birhane Dibaba,Ethiopia,02:23:15
Chicago,2015,Florence Kiplagat,Kenya,02:09:25
Boston,2015,Caroline Rotich,Kenya,02:24:55
London,2015,Tigist Tufa,Ethiopia,02:23:21
New York,2014,Mary Keitany,Kenya,02:25:07
Chicago,2014,Mare Dibaba,Ethiopia,02:04:11
London,2014,Edna Kiplagat,Kenya,02:20:21
Berlin,2014,Tirfi Tsegaye,Ethiopia,02:20:18
Boston,2014,Rita Jeptoo,Kenya,02:18:57
Tokyo,2014,Tirfi Tsegaye,Ethiopia,02:22:23
Boston,2014,Buzunesh Deba,Ethiopia,02:19:59
Tokyo,2013,Aberu Kebede,Ethiopia,02:25:34
New York,2013,Priscah Jeptoo,Kenya,02:25:07
Chicago,2013,Rita Jeptoo,Kenya,02:03:45
London,2013,Priscah Jeptoo,Kenya,02:20:15
Boston,2013,Rita Jeptoo,Kenya,02:26:25
Berlin,2013,Florence Kiplagat,Kenya,02:21:13
Berlin,2012,Aberu Kebede,Ethiopia,02:20:30
Chicago,2012,Atsede Baysa,Ethiopia,02:04:38
Tokyo,2012,Atsede Habtamu,Ethiopia,02:25:28
London,2012,Mary Keitany,Kenya,02:18:37
Boston,2012,Sharon Cherop,Kenya,02:31:50
Berlin,2011,Florence Kiplagat,Kenya,02:19:44
Tokyo,2011,Noriko Higuchi [9],Japan,02:28:49
London,2011,Mary Keitany,Kenya,02:19:19
Chicago,2011,Ejegayehu Dibaba,Ethiopia,02:05:37
New York,2011,Firehiwot Dado,Ethiopia,02:23:15
Boston,2011,Caroline Kilel,Kenya,02:22:36
Tokyo,2010,Alevtina Biktimirova,Russia,02:34:39
New York,2010,Edna Kiplagat,Kenya,02:28:20
Berlin,2010,Aberu Kebede,Ethiopia,02:23:58
Chicago,2010,Atsede Baysa,Ethiopia,02:06:23
Boston,2010,Teyba Erkesso,Ethiopia,02:26:11
London,2010,Aselefech Mergia,Ethiopia,02:22:38
London,2009,Irina Mikitenko,Germany,02:22:11
Tokyo,2009,Mizuho Nasukawa,Japan,02:25:38
New York,2009,Derartu Tulu,Ethiopia,02:28:52
Boston,2009,Salina Kosgei,Kenya,02:32:16
Berlin,2009,Atsede Habtamu,Ethiopia,02:24:47
Chicago,2009,Irina Mikitenko,Germany,02:05:41
New York,2008,Paula Radcliffe,United Kingdom,02:23:56
Berlin,2008,Irina Mikitenko,Germany,02:19:19
Boston,2008,Dire Tune,Ethiopia,02:25:25
Tokyo,2008,Claudia Dreher,Germany,02:35:35
Chicago,2008,Lidiya Grigoryeva,Russia,02:06:25
London,2008,Irina Mikitenko,Germany,02:24:14
Berlin,2007,Gete Wami,Ethiopia,02:23:17
London,2007,Zhou Chunxiu,China,02:20:38
Chicago,2007,Berhane Adere,Ethiopia,02:11:11
Tokyo,2007,Hitomi Niiya,Japan,02:31:02
Boston,2007,Lidiya Grigoryeva,Russia,02:29:18
New York,2007,Paula Radcliffe,United Kingdom,02:23:09
Berlin,2006,Gete Wami,Ethiopia,02:21:34
Boston,2006,Rita Jeptoo,Kenya,02:23:38
New York,2006,Je?ena Prokop?uka,Latvia,02:25:05
Chicago,2006,Berhane Adere,Ethiopia,02:07:35
London,2006,Deena Kastor,United States,02:19:35
London,2005,Paula Radcliffe,United Kingdom,02:17:42
Boston,2005,Catherine Ndereba,Kenya,02:25:12
Chicago,2005,Deena Kastor,United States,02:07:02
Berlin,2005,Mizuki Noguchi,Japan,02:19:12
New York,2005,Je?ena Prokop?uka,Latvia,02:24:41
Berlin,2004,Yoko Shibui,Japan,02:19:41
Chicago,2004,Constantina Di??,Romania,02:06:16
London,2004,Margaret Okayo,Kenya,02:22:35
New York,2004,Paula Radcliffe,United Kingdom,02:23:10
Boston,2004,Catherine Ndereba,Kenya,02:24:27
New York,2003,Margaret Okayo,Kenya,02:22:31
Chicago,2003,Svetlana Zakharova,Russia,02:05:50
Berlin,2003,Yasuko Hashimoto,Japan,02:26:32
Boston,2003,Svetlana Zakharova,Russia,02:25:19
London,2003,Paula Radcliffe,United Kingdom,02:15:25
New York,2002,Joyce Chepchumba,Kenya,02:25:56
Chicago,2002,Paula Radcliffe,United Kingdom,02:05:56
Berlin,2002,Naoko Takahashi,Japan,02:21:49
London,2002,Paula Radcliffe,United Kingdom,02:18:56
Boston,2002,Margaret Okayo,Kenya,02:20:43
Chicago,2001,Catherine Ndereba,Kenya,02:08:52
London,2001,Derartu Tulu,Ethiopia,02:23:57
Boston,2001,Catherine Ndereba,Kenya,02:23:53
Berlin,2001,Naoko Takahashi,Japan,02:19:46
New York,2001,Margaret Okayo,Kenya,02:24:21
Chicago,2000,Catherine Ndereba,Kenya,02:07:01
Boston,2000,Catherine Ndereba,Kenya,02:26:11
New York,2000,Lyudmila Petrova,Russia,02:25:45
London,2000,Tegla Laroupe,Kenya,02:24:33
Berlin,2000,Kazumi Matsuo,Japan,02:26:15
London,1999,Joyce Chepchumba,Kenya,02:23:22
Chicago,1999,Joyce Chepchumba,Kenya,02:05:42
Boston,1999,Fatuma Roba,Ethiopia,02:23:25
Berlin,1999,Tegla Loroupe,Kenya,02:20:43
New York,1999,Adriana Fernandez,Mexico,02:25:06
Boston,1998,Fatuma Roba,Ethiopia,02:23:21
Berlin,1998,Marleen Renders,Belgium,02:25:22
London,1998,Catherina McKiernan,Ireland,02:26:26
Chicago,1998,Joyce Chepchumba,Kenya,02:06:54
New York,1998,Franca Fiacconi,Italy,02:25:17
New York,1997,Franziska Rochat-Moser,Switzerland,02:28:43
Boston,1997,Fatuma Roba,Ethiopia,02:26:23
Berlin,1997,Catherina McKiernan,Ireland,02:23:44
London,1997,Joyce Chepchumba,Kenya,02:26:51
Chicago,1997,Marian Sutton,United Kingdom,02:07:10
New York,1996,Anu?a C?tun?,Romania,02:28:18
London,1996,Liz McColgan,United Kingdom,02:27:54
Chicago,1996,Marian Sutton,United Kingdom,02:08:52
Berlin,1996,Colleen De Reuck,South Africa,02:26:35
Boston,1996,Uta Pippig,Germany,02:27:12
Boston,1995,Uta Pippig,Germany,02:25:11
Berlin,1995,Uta Pippig,Germany,02:25:37
London,1995,Ma?gorzata Soba?ska,Poland,02:27:43
Chicago,1995,Ritva Lemettinen,Finland,02:11:18
New York,1995,Tegla Loroupe,Kenya,02:28:06
Berlin,1994,Katrin Dörre-Heinig,Germany,02:25:15
Boston,1994,Uta Pippig,Germany,02:21:45
London,1994,Katrin Dörre-Heinig,Germany,02:32:34
New York,1994,Tegla Loroupe,Kenya,02:27:37
Chicago,1994,Kristy Johnston,United States,02:11:16
New York,1993,Uta Pippig,Germany,02:26:24
London,1993,Katrin Dörre-Heinig,Germany,02:27:09
Boston,1993,Olga Markova,Russia,02:25:27
Chicago,1993,Ritva Lemettinen,Finland,02:13:14
Berlin,1993,Renata Kokowska,Poland,02:26:20
Berlin,1992,Uta Pippig,Germany,02:30:22
London,1992,Katrin Dörre-Heinig,Germany,02:29:39
New York,1992,Lisa Ondieki,Australia,02:24:40
Boston,1992,Olga Markova,Russia,02:23:43
Chicago,1992,Linda Somers,United States,02:16:14
New York,1991,Liz McColgan,United Kingdom,02:27:32
Boston,1991,Wanda Panfil,Poland,02:24:18
Chicago,1991,Midde Hamrin,Sweden,02:14:33
London,1991,Rosa Mota,Portugal,02:26:14
Berlin,1991,Renata Kokowska,Poland,02:27:36
Boston,1990,Rosa Mota,Portugal,02:25:24
New York,1990,Wanda Panfil,Poland,02:30:45
London,1990,Wanda Panfil,Poland,02:26:31
Berlin,1990,Uta Pippig,East Germany,02:28:37
Chicago,1990,Aurora Cunha,Portugal,02:09:41
Chicago,1989,Lisa Weidenbach,United States,02:11:25
London,1989,Véronique Marot,United Kingdom,02:25:56
Berlin,1989,Päivi Tikkanen,Finland,02:28:45
Boston,1989,Ingrid Kristiansen,Norway,02:24:33
New York,1989,Ingrid Kristiansen,Norway,02:25:30
Berlin,1988,Renata Kokowska,Poland,02:29:16
Boston,1988,Rosa Mota,Portugal,02:24:30
London,1988,Ingrid Kristiansen,Norway,02:25:41
New York,1988,Grete Waitz,Norway,02:28:07
Chicago,1988,Lisa Weidenbach,United States,02:08:57
New York,1987,Priscilla Welch,United Kingdom,02:30:17
Berlin,1987,Kerstin Preßler,West Germany,02:31:22
Boston,1987,Rosa Mota,Portugal,02:25:21
London,1987,Ingrid Kristiansen,Norway,02:22:48
Chicago,1986,Ingrid Kristiansen,Norway,02:08:27
New York,1986,Grete Waitz,Norway,02:28:06
Berlin,1986,Charlotte Teske,West Germany,02:32:10
Boston,1986,Ingrid Kristiansen,Norway,02:24:55
London,1986,Grete Waitz,Norway,02:24:54
New York,1985,Grete Waitz,Norway,02:28:34
Chicago,1985,Joan Benoit,United States,02:07:13
Boston,1985,Larsen Weidenbach,United States,02:34:06
London,1985,Ingrid Kristiansen,Norway,02:21:06
Berlin,1985,Magda Ilands,Belgium,02:34:10
New York,1984,Grete Waitz,Norway,02:29:30
London,1984,Ingrid Kristiansen,Norway,02:24:26
Berlin,1984,Ágnes Sipka,Hungary,02:39:32
Boston,1984,Lorraine Moller,Zealand New,02:29:28
Chicago,1984,Rosa Mota,Portugal,02:08:05
Chicago,1983,Rosa Mota,Portugal,02:09:44
New York,1983,Grete Waitz,Norway,02:27:00
Boston,1983,Joan Benoit,United States,02:22:43
London,1983,Grete Waitz,Norway,02:25:29
Berlin,1983,Karen Holdsworth,United Kingdom,02:40:32
Chicago,1982,Nancy Conz,United States,02:10:59
London,1982,Joyce Smith,United Kingdom,02:29:43
Berlin,1982,Jean Lochhead,United Kingdom,02:47:05
New York,1982,Grete Waitz,Norway,02:27:14
Boston,1982,Charlotte Teske,Germany West,02:29:33
Boston,1981,Allison Roe,Zealand New,02:26:46
Chicago,1981,Tina Gandy,United States,02:16:13
New York,1981,Allison Roe,New Zealand,02:25:29
London,1981,Joyce Smith,United Kingdom,02:29:57
Berlin,1981,Angelika Stephan,West Germany,02:47:24
Boston,1980,Jacqueline Gareau,Canada,02:34:28
Chicago,1980,Sue Peterson,United States,02:14:04
New York,1980,Grete Waitz,Norway,02:25:42
Berlin,1980,Gerlinde Püttmann,West Germany,02:47:18
Chicago,1979,Laura Michalek,United States,02:23:20
New York,1979,Grete Waitz,Norway,02:27:33
Boston,1979,Joan Benoit,United States,02:35:15
Berlin,1979,Jutta von Haase,West Germany,03:07:07
New York,1978,Grete Waitz,Norway,02:32:30
Chicago,1978,Lynae Larson,United States,02:19:20
Boston,1978,Gayle Barron,United States,02:44:52
Berlin,1978,Ursula Blaschke,West Germany,02:57:09
Boston,1977,Miki Gorman,United States,02:48:33
Berlin,1977,Christa Vahlensieck,West Germany,02:34:48
New York,1977,Miki Gorman,United States,02:43:10
Chicago,1977,Dorothy Doolittle,United States,02:17:52
New York,1976,Miki Gorman,United States,02:39:11
Berlin,1976,Jutta von Haase,West Germany,03:05:19
Boston,1976,Kim Merritt,United States,02:47:10
New York,1975,Kim Merritt,United States,02:46:14
Berlin,1975,Christin Bochröder,West Germany,02:59:15
Boston,1975,Liane Winter,Germany West,02:42:24
Berlin,1974,Jutta von Haase,West Germany,03:22:01
Boston,1974,Miki Gorman,United States,02:47:11
New York,1974,Kathrine Switzer,United States,03:07:29
New York,1973,Nina Kuscsik,United States,02:57:07
Boston,1973,Jacqueline Hansen,United States,03:05:59
Boston,1972,Nina Kuscsik,United States,03:10:26
New York,1972,Nina Kuscsik,United States,03:08:41
Boston,1971,Mae Berman,United States,03:08:30
Boston,1970,Mae Berman,United States,03:05:07
Boston,1969,Mae Berman,United States,03:22:46
Boston,1968,Bobbi Gibb,United States,03:30:00
Boston,1967,Bobbi Gibb,United States,03:27:17
Boston,1966,Bobbi Gibb,United States,03:21:40
