,Team,Year,Event,Medal
9211,Japan,1992,Athletics Women's Marathon,Silver
9212,Japan,1996,Athletics Women's Marathon,Bronze
19260,United States,1984,Athletics Women's Marathon,Gold
39682,Kenya,2000,Athletics Women's Marathon,Bronze
55201,Ethiopia,2016,Athletics Women's Marathon,Bronze
57714,Germany,1988,Athletics Women's Marathon,Bronze
58799,United States,2004,Athletics Women's Marathon,Bronze
77621,Ethiopia,2012,Athletics Women's Marathon,Gold
108032,Kenya,2012,Athletics Women's Marathon,Silver
168955,Kenya,2004,Athletics Women's Marathon,Silver
168956,Kenya,2008,Athletics Women's Marathon,Silver
172670,Japan,2004,Athletics Women's Marathon,Gold
201531,Ethiopia,1996,Athletics Women's Marathon,Gold
232069,Kenya,2016,Athletics Women's Marathon,Gold
235182,Japan,2000,Athletics Women's Marathon,Gold
