,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,0,PF,1566429785,76,-23.12,-134.97,22.22,2.26
1,Yellowknife,75,CA,1566430030,49,62.45,-114.38,20.56,7.7
2,Atuona,0,PF,1566430030,74,-9.8,-139.03,26.82,9.02
3,Port Alfred,0,ZA,1566430030,82,-33.59,26.89,13.33,0.45
4,Punta Arenas,90,CL,1566429881,93,-53.16,-70.91,4.0,7.7
5,Hobart,40,AU,1566430031,78,-42.88,147.33,8.33,7.2
6,Altamira,33,BR,1566430031,66,-3.2,-52.21,25.02,0.93
7,Bauchi,98,NG,1566430031,94,10.31,9.85,20.32,1.4
8,Bredasdorp,61,ZA,1566430032,87,-34.53,20.04,9.44,1.6
9,Georgetown,75,GY,1566429922,94,6.8,-58.16,29.0,2.1
10,Mataura,81,NZ,1566429860,74,-46.19,168.86,11.67,2.24
11,Butaritari,29,KI,1566430032,76,3.07,172.79,29.22,6.74
12,Taoudenni,1,ML,1566430032,19,22.68,-3.98,36.42,1.39
13,Thinadhoo,100,MV,1566430032,68,0.53,72.93,28.22,2.44
14,Mount Isa,10,AU,1566430033,20,-20.73,139.49,17.0,5.7
15,Altagracia de Orituco,89,VE,1566430033,97,9.86,-66.38,20.52,0.62
16,Geraldton,75,CA,1566430033,82,49.72,-86.95,13.0,2.6
17,Port Hedland,0,AU,1566430033,34,-20.31,118.58,11.0,4.6
18,Aksarka,87,RU,1566430034,82,66.56,67.8,10.52,2.45
19,Hithadhoo,99,MV,1566430034,70,-0.6,73.08,28.02,2.39
20,Nikolskoye,75,RU,1566430034,100,59.7,30.79,15.0,2.0
21,Puerto Escondido,90,MX,1566430034,66,15.86,-97.07,30.0,0.95
22,Atar,41,MR,1566430035,30,20.52,-13.05,34.22,4.35
23,Saint-Philippe,1,CA,1566429941,83,45.36,-73.48,24.44,4.1
24,Hovd,20,NO,1566430035,93,63.83,10.7,12.22,5.1
25,Yagodnoye,97,RU,1566430035,47,62.52,149.63,20.22,1.86
26,Ust-Tsilma,0,RU,1566430035,97,65.44,52.15,10.32,1.23
27,Walvis Bay,0,NA,1566430036,93,-22.95,14.51,19.0,4.1
28,Altay,62,CN,1566430036,67,47.83,88.13,10.92,1.3
29,Puerto Ayora,20,EC,1566430036,69,-0.74,-90.35,23.0,7.7
30,Waipawa,83,NZ,1566430036,86,-39.94,176.59,10.0,1.79
31,Cookeville,20,US,1566429868,62,36.16,-85.5,31.11,2.1
32,Zyryanka,46,RU,1566430037,45,65.73,150.89,22.22,4.23
33,Freeport,40,BS,1566429882,78,26.54,-78.7,28.0,2.6
34,Jijiga,75,ET,1566430037,88,9.35,42.8,14.72,4.55
35,Liverpool,0,GB,1566429821,82,53.41,-2.98,16.11,8.7
36,Kapaa,75,US,1566430037,59,22.08,-159.32,32.0,6.7
37,Gimli,69,CA,1566430038,55,50.63,-96.99,18.33,2.68
38,Deputatskiy,100,RU,1566430038,91,69.3,139.9,11.22,1.44
39,Buraydah,0,SA,1566430038,29,26.33,43.97,31.0,1.5
40,Upernavik,34,GL,1566430039,83,72.79,-56.15,4.22,3.18
41,New Norfolk,40,AU,1566430039,78,-42.78,147.06,8.33,7.2
42,Teya,90,MX,1566430039,94,21.05,-89.07,25.0,2.62
43,Chapais,90,CA,1566430039,72,49.78,-74.86,19.0,2.1
44,Atambua,20,ID,1566430040,70,-9.11,124.89,23.52,4.71
45,Kununurra,67,AU,1566430040,19,-15.77,128.74,20.0,3.1
46,Lebu,75,ET,1566430040,93,8.96,38.73,14.0,1.0
47,Poum,1,MK,1566430040,46,41.28,20.71,16.22,1.71
48,Santa Maria,0,BR,1566429926,34,-16.02,-48.01,26.0,1.5
49,Petropavlovsk-Kamchatskiy,75,RU,1566430041,82,53.05,158.65,13.0,1.0
50,Floresta,0,BR,1566430041,58,-8.6,-38.57,23.82,9.78
51,Alta Floresta,9,BR,1566430041,31,-9.87,-56.08,27.22,1.29
52,Doha,0,QA,1566430042,70,25.29,51.53,33.0,2.6
53,Kurchum,99,KZ,1566430042,67,48.57,83.65,16.02,2.51
54,Mahebourg,40,MU,1566430042,93,-20.41,57.7,19.44,2.6
55,Albany,75,US,1566429973,83,42.65,-73.75,24.0,2.6
56,Boulder City,1,US,1566429794,4,35.98,-114.83,42.78,6.2
57,Ponta do Sol,0,BR,1566430043,63,-20.63,-46.0,18.82,0.91
58,Verkhnevilyuysk,100,RU,1566430043,87,63.45,120.31,14.12,2.47
59,Cape Town,0,ZA,1566430043,81,-33.93,18.42,16.11,1.5
60,Thompson,20,CA,1566429874,51,55.74,-97.86,17.0,3.1
61,Bambous Virieux,40,MU,1566430044,93,-20.34,57.76,19.44,2.6
62,Severo-Kurilsk,57,RU,1566430044,87,50.68,156.12,8.72,7.25
63,Souillac,0,FR,1566429923,52,45.6,-0.6,20.0,4.94
64,Sisimiut,18,GL,1566430044,88,66.94,-53.67,5.92,5.33
65,Esperance,0,AU,1566430045,57,-33.86,121.89,9.0,8.7
66,Saint-Augustin,1,CA,1566430045,83,45.63,-73.98,24.0,4.1
67,Bluff,0,AU,1566430045,35,-23.58,149.07,18.52,1.69
68,Jamestown,55,AU,1566430045,79,-33.21,138.6,10.42,3.72
69,Tuatapere,27,NZ,1566430046,74,-46.13,167.69,11.67,2.24
70,Goderich,88,CA,1566430046,80,43.74,-81.71,23.89,2.24
71,Busselton,0,AU,1566430046,53,-33.64,115.35,12.22,8.19
72,Tasiilaq,87,GL,1566430047,65,65.61,-37.64,7.0,0.66
73,Ushuaia,40,AR,1566430047,52,-54.81,-68.31,5.0,5.1
74,Herat,0,AF,1566429922,30,34.35,62.22,19.32,5.34
75,Hermanus,86,ZA,1566430047,95,-34.42,19.24,16.11,0.45
76,Faanui,0,PF,1566430048,78,-16.48,-151.75,26.12,4.12
77,Bilibino,16,RU,1566430048,67,68.06,166.44,10.42,3.53
78,Yumbe,87,UG,1566430048,89,3.47,31.25,17.52,1.81
79,Vaini,94,IN,1566430048,92,15.34,74.49,23.72,0.59
80,Ostrovnoy,4,RU,1566429891,89,68.05,39.51,10.72,4.83
81,Margate,40,AU,1566430049,78,-43.03,147.26,8.33,7.2
82,Ostersund,0,SE,1566430049,81,63.18,14.64,8.0,3.1
83,Sistranda,40,NO,1566430049,87,63.73,8.83,11.67,3.1
84,Khatanga,40,RU,1566430049,72,71.98,102.47,11.72,4.6
85,Alenquer,0,BR,1566430050,83,-1.95,-54.74,28.0,2.1
86,Severnoye,0,RU,1566430050,93,54.09,52.54,14.62,2.81
87,Hilo,90,US,1566430050,62,19.71,-155.08,30.0,4.1
88,Carnarvon,0,ZA,1566430050,15,-30.97,22.13,12.02,2.51
89,Dikson,0,RU,1566430051,84,73.51,80.55,6.92,4.52
90,Carutapera,67,BR,1566430051,81,-1.2,-46.02,25.42,2.68
91,Kirakira,88,SB,1566430051,86,-10.46,161.92,26.22,7.92
92,Kavieng,93,PG,1566429785,73,-2.57,150.8,28.42,3.97
93,Iqaluit,20,CA,1566430052,75,63.75,-68.52,6.0,2.6
94,Christchurch,83,NZ,1566430052,81,-43.53,172.64,13.33,1.5
95,Armidale,100,AU,1566430052,54,-30.51,151.67,8.33,3.58
96,Guerrero Negro,0,MX,1566429943,81,27.97,-114.04,20.82,7.46
97,Karlstad,20,SE,1566430052,93,59.38,13.5,13.33,3.1
98,Mar del Plata,76,AR,1566430053,66,-46.43,-67.52,7.12,7.86
99,Qaqortoq,20,GL,1566430053,61,60.72,-46.03,10.0,3.6
100,Luanda,40,AO,1566430053,94,-8.83,13.24,22.0,3.1
101,Salinopolis,47,BR,1566430053,77,-0.61,-47.36,27.72,7.4
102,Klaksvik,84,FO,1566430053,100,62.23,-6.59,11.0,5.1
103,Makakilo City,75,US,1566430054,55,21.35,-158.09,33.0,3.6
104,Sobolevo,38,RU,1566430054,96,54.43,31.9,17.22,4.65
105,Hobyo,94,SO,1566430054,65,5.35,48.53,25.82,8.23
106,Port-Gentil,40,GA,1566430054,88,-0.72,8.78,24.0,3.1
107,Magan,0,OM,1566430055,79,24.42,56.58,30.0,3.1
108,Novoagansk,0,RU,1566430055,85,61.94,76.66,12.92,4.35
109,Longyearbyen,0,NO,1566429906,69,78.22,15.63,2.0,1.91
110,La Rioja,0,AR,1566430055,49,-29.41,-66.86,8.22,0.61
111,Hamilton,75,CA,1566429777,69,43.26,-79.87,29.0,3.6
112,Anshun,80,CN,1566430056,87,26.25,105.93,18.92,0.89
113,Luderitz,0,NA,1566430056,14,-26.65,15.16,25.0,4.1
114,Witbank,0,ZA,1566430056,69,-25.87,29.23,6.72,1.49
115,Arraial do Cabo,40,BR,1566430056,82,-22.97,-42.02,19.0,2.69
116,Salta,0,AR,1566430057,50,-24.79,-65.41,14.0,2.1
117,Leningradskiy,83,RU,1566430057,91,69.38,178.42,4.52,9.89
118,San-Pedro,55,CI,1566430057,92,4.75,-6.64,21.12,1.46
119,Los Llanos de Aridane,0,ES,1566430057,73,28.66,-17.92,22.0,6.7
120,Taganak,75,PH,1566430058,94,6.08,118.3,24.0,2.58
121,Airai,13,TL,1566430058,51,-8.93,125.41,24.92,0.28
122,Ngunguru,2,NZ,1566430058,78,-35.62,174.5,15.56,6.26
123,Taltal,14,CL,1566430058,83,-25.41,-70.49,11.62,1.34
124,Port Lincoln,36,AU,1566430058,67,-34.72,135.86,12.72,2.9
125,Marystown,88,CA,1566429948,88,47.17,-55.16,17.42,3.7
126,Mamlyutka,76,KZ,1566430059,87,54.94,68.54,12.62,4.09
127,Nanortalik,5,GL,1566430059,87,60.14,-45.24,4.52,2.41
